sample	drug	PCIDs	syn	gvm
LJP007_PC3_24H-GSK-1059615-0.37	gsk 1059615	23582824		pc23582824
LJP007_PC3_24H-GSK-1059615-1.11	gsk 1059615	23582824		pc23582824
LJP007_PC3_24H-GSK-1059615-10	gsk 1059615	23582824		pc23582824
LJP007_PC3_24H-GSK-1059615-3.33	gsk 1059615	23582824		pc23582824
LJP007_PC3_24H-HG-14-10-04-10	hg 14 10 04	5717801		pc5717801
LJP007_PC3_24H-HG-14-8-02-10	hg 14 8 02	54454		pc54454
LJP007_PC3_24H-HG-9-91-01-0.37	hg 9 91 01			hg99101
LJP007_PC3_24H-HG-9-91-01-10	hg 9 91 01			hg99101
LJP007_PC3_24H-HG-9-91-01-3.33	hg 9 91 01			hg99101
LJP007_PC3_24H-INK-128-0.04	ink 128	45375953		pc45375953
LJP007_PC3_24H-INK-128-0.12	ink 128	45375953		pc45375953
LJP007_PC3_24H-INK-128-0.37	ink 128	45375953		pc45375953
LJP007_PC3_24H-INK-128-1.11	ink 128	45375953		pc45375953
LJP007_PC3_24H-INK-128-10	ink 128	45375953		pc45375953
LJP007_PC3_24H-INK-128-3.33	ink 128	45375953		pc45375953
LJP007_PC3_24H-KIN001-244-10	kin001 244	3060974		pc3060974
LJP007_PC3_24H-KIN001-244-3.33	kin001 244	3060974		pc3060974
LJP007_PC3_24H-KIN001-270-10	kin001 270	3973		pc3973
LJP007_PC3_24H-KW-2449-10	kw 2449			kw2449
LJP007_PC3_24H-NVP-BGT226-0.04	nvp bgt226	5311		pc5311
LJP007_PC3_24H-NVP-BGT226-0.12	nvp bgt226	5311		pc5311
LJP007_PC3_24H-NVP-BGT226-0.37	nvp bgt226	5311		pc5311
LJP007_PC3_24H-NVP-BGT226-1.11	nvp bgt226	5311		pc5311
LJP007_PC3_24H-NVP-BGT226-10	nvp bgt226	5311		pc5311
LJP007_PC3_24H-NVP-BGT226-3.33	nvp bgt226	5311		pc5311
LJP007_PC3_24H-NVP-TAE226-0.37	nvp tae226	312145		pc312145
LJP007_PC3_24H-NVP-TAE226-1.11	nvp tae226	312145		pc312145
LJP007_PC3_24H-NVP-TAE226-10	nvp tae226	312145		pc312145
LJP007_PC3_24H-NVP-TAE226-3.33	nvp tae226	312145		pc312145
LJP007_PC3_24H-OSI-930-10	osi 930	9868037		pc9868037
LJP007_PC3_24H-OTSSP167-0.37	otssp167			otssp167
LJP007_PC3_24H-OTSSP167-1.11	otssp167			otssp167
LJP007_PC3_24H-OTSSP167-10	otssp167			otssp167
LJP007_PC3_24H-PD-0325901-10	pd 0325901	9826528		pc9826528
LJP007_PC3_24H-PHA-767491-0.37	pha 767491	10766		pc10766
LJP007_PC3_24H-PHA-767491-1.11	pha 767491	10766		pc10766
LJP007_PC3_24H-PHA-767491-10	pha 767491	10766		pc10766
LJP007_PC3_24H-PHA-767491-3.33	pha 767491	10766		pc10766
LJP007_PC3_24H-SB-216763-0.04	sb 216763	4668801		pc4668801
LJP007_PC3_24H-SB-216763-10	sb 216763	4668801		pc4668801
LJP007_PC3_24H-SB-525334-0.12	sb 525334	5359405		pc5359405
LJP007_PC3_24H-SB-525334-10	sb 525334	5359405		pc5359405
LJP007_PC3_24H-SB-525334-3.33	sb 525334	5359405		pc5359405
LJP007_PC3_24H-SGI-1776-10	sgi 1776	24795070		pc24795070
LJP007_PC3_24H-TPCA-1-10	tpca 1	4030		pc4030
LJP007_PC3_24H-WZ-4002-0.37	wz 4002	51371157		pc51371157
LJP007_PC3_24H-WZ-4002-10	wz 4002	51371157		pc51371157
LJP007_PC3_24H-WZ-7043-10	wz 7043	6604934		pc6604934
LJP007_PC3_24H-XMD-885-10	xmd 885	6610318		pc6610318
LJP007_PC3_24H-bosutinib-10	bosutinib	5328940		pc5328940
LJP007_PC3_24H-cabozantinib-10	cabozantinib	25102846		pc25102846
LJP007_PC3_24H-dacomitinib-10	dacomitinib	11511120		pc11511120
LJP007_PC3_24H-dasatinib-0.04	dasatinib	3062316		pc3062316
LJP007_PC3_24H-dasatinib-0.12	dasatinib	3062316		pc3062316
LJP007_PC3_24H-dasatinib-0.37	dasatinib	3062316		pc3062316
LJP007_PC3_24H-dasatinib-1.11	dasatinib	3062316		pc3062316
LJP007_PC3_24H-dasatinib-10	dasatinib	3062316		pc3062316
LJP007_PC3_24H-dasatinib-3.33	dasatinib	3062316		pc3062316
LJP007_PC3_24H-dinaciclib-0.04	dinaciclib	46926350		pc46926350
LJP007_PC3_24H-dinaciclib-0.37	dinaciclib	46926350		pc46926350
LJP007_PC3_24H-dinaciclib-1.11	dinaciclib	46926350		pc46926350
LJP007_PC3_24H-dinaciclib-10	dinaciclib	46926350		pc46926350
LJP007_PC3_24H-everolimus-0.04	everolimus	6442177		pc6442177
LJP007_PC3_24H-everolimus-0.12	everolimus	6442177		pc6442177
LJP007_PC3_24H-everolimus-0.37	everolimus	6442177		pc6442177
LJP007_PC3_24H-everolimus-1.11	everolimus	6442177		pc6442177
LJP007_PC3_24H-everolimus-10	everolimus	6442177		pc6442177
LJP007_PC3_24H-everolimus-3.33	everolimus	6442177		pc6442177
LJP007_PC3_24H-idelalisib-1.11	idelalisib	11625818		pc11625818
LJP007_PC3_24H-idelalisib-10	idelalisib	11625818		pc11625818
LJP007_PC3_24H-idelalisib-3.33	idelalisib	11625818		pc11625818
LJP007_PC3_24H-mitoxantrone-10	mitoxantrone	4212		pc4212
LJP007_PC3_24H-pazopanib-10	pazopanib	10113978		pc10113978
LJP007_PC3_24H-quizartinib-10	quizartinib	24889392		pc24889392
LJP007_PC3_24H-sirolimus-10	sirolimus	5284616		pc5284616
LJP007_PC3_24H-sutent-10	sutent	5288382		pc5288382
LJP007_PC3_24H-sutent-3.33	sutent	5288382		pc5288382
LJP007_PC3_24H-tanespimycin-10	tanespimycin	6505803		pc6505803
LJP007_PC3_24H-tivantinib-1.11	tivantinib	441860		pc441860
LJP007_PC3_24H-tivantinib-10	tivantinib	441860		pc441860
LJP007_PC3_24H-tivantinib-3.33	tivantinib	441860		pc441860
LJP007_PC3_24H-tivozanib-10	tivozanib	9911830		pc9911830
LJP007_PC3_24H-tyrphostin-AG-1478-0.04	tyrphostin ag 1478	2051		pc2051
LJP007_PC3_24H-vandetanib-10	vandetanib	3081361		pc3081361
LJP007_PC3_24H-vandetanib-3.33	vandetanib	3081361		pc3081361
LJP007_PC3_24H-vorinostat-10	vorinostat	5311		pc5311
LJP008_A375_24H-(+)-JQ1-0.04	(+) jq1	6438330		pc6438330
LJP008_A375_24H-(+)-JQ1-0.12	(+) jq1	6438330		pc6438330
LJP008_A375_24H-(+)-JQ1-0.37	(+) jq1	6438330		pc6438330
LJP008_A375_24H-(+)-JQ1-1.11	(+) jq1	6438330		pc6438330
LJP008_A375_24H-(+)-JQ1-10	(+) jq1	6438330		pc6438330
LJP008_A375_24H-(+)-JQ1-3.33	(+) jq1	6438330		pc6438330
LJP008_A375_24H-(-)-JQ1-10	( ) jq1	6610310		pc6610310
LJP008_A375_24H-ABT-737-0.37	abt 737	51082		pc51082
LJP008_A375_24H-ABT-737-10	abt 737	51082		pc51082
LJP008_A375_24H-AGK-2-0.37	agk 2	107992		pc107992
LJP008_A375_24H-AZ20-1.11	az20			az20
LJP008_A375_24H-AZ20-10	az20			az20
LJP008_A375_24H-AZ20-3.33	az20			az20
LJP008_A375_24H-BIX-01294-10	bix 01294	16759159		pc16759159
LJP008_A375_24H-C646-10	c646	6753378		pc6753378
LJP008_A375_24H-CGK-733-10	cgk 733	444732		pc444732
LJP008_A375_24H-CGP-60474-0.04	cgp 60474	11371328		pc11371328
LJP008_A375_24H-CGP-60474-0.12	cgp 60474	11371328		pc11371328
LJP008_A375_24H-CGP-60474-0.37	cgp 60474	11371328		pc11371328
LJP008_A375_24H-CGP-60474-1.11	cgp 60474	11371328		pc11371328
LJP008_A375_24H-CGP-60474-10	cgp 60474	11371328		pc11371328
LJP008_A375_24H-CGP-60474-3.33	cgp 60474	11371328		pc11371328
LJP008_A375_24H-CTB-0.37	ctb	1268111		pc1268111
LJP008_A375_24H-CTB-10	ctb	1268111		pc1268111
LJP008_A375_24H-CX-5461-1.11	cx 5461	12305974		pc12305974
LJP008_A375_24H-CX-5461-10	cx 5461	12305974		pc12305974
LJP008_A375_24H-CX-5461-3.33	cx 5461	12305974		pc12305974
LJP008_A375_24H-GSK-1059615-0.04	gsk 1059615	23582824		pc23582824
LJP008_A375_24H-GSK-1059615-0.37	gsk 1059615	23582824		pc23582824
LJP008_A375_24H-GSK-1059615-1.11	gsk 1059615	23582824		pc23582824
LJP008_A375_24H-GSK-1059615-10	gsk 1059615	23582824		pc23582824
LJP008_A375_24H-GSK-1059615-3.33	gsk 1059615	23582824		pc23582824
LJP008_A375_24H-GSK-1070916-0.04	gsk 1070916	46885626		pc46885626
LJP008_A375_24H-GSK-1070916-0.12	gsk 1070916	46885626		pc46885626
LJP008_A375_24H-GSK-1070916-0.37	gsk 1070916	46885626		pc46885626
LJP008_A375_24H-GSK-1070916-1.11	gsk 1070916	46885626		pc46885626
LJP008_A375_24H-GSK-1070916-10	gsk 1070916	46885626		pc46885626
LJP008_A375_24H-GSK-1070916-3.33	gsk 1070916	46885626		pc46885626
LJP008_A375_24H-GSK-461364-0.04	gsk 461364	456214		pc456214
LJP008_A375_24H-GSK-461364-0.12	gsk 461364	456214		pc456214
LJP008_A375_24H-GSK-461364-0.37	gsk 461364	456214		pc456214
LJP008_A375_24H-GSK-461364-1.11	gsk 461364	456214		pc456214
LJP008_A375_24H-GSK-461364-10	gsk 461364	456214		pc456214
LJP008_A375_24H-GSK-461364-3.33	gsk 461364	456214		pc456214
LJP008_A375_24H-GSK-J2-3.33	gsk j2	2725002		pc2725002
LJP008_A375_24H-GSK-J4-10	gsk j4	5770		pc5770
LJP008_A375_24H-I-BET-0.12	i bet	3270699		pc3270699
LJP008_A375_24H-I-BET-0.37	i bet	3270699		pc3270699
LJP008_A375_24H-I-BET-1.11	i bet	3270699		pc3270699
LJP008_A375_24H-I-BET-10	i bet	3270699		pc3270699
LJP008_A375_24H-I-BET-3.33	i bet	3270699		pc3270699
LJP008_A375_24H-I-BET151-0.04	i bet151	5269		pc5269
LJP008_A375_24H-I-BET151-0.12	i bet151	5269		pc5269
LJP008_A375_24H-I-BET151-0.37	i bet151	5269		pc5269
LJP008_A375_24H-I-BET151-1.11	i bet151	5269		pc5269
LJP008_A375_24H-I-BET151-10	i bet151	5269		pc5269
LJP008_A375_24H-I-BET151-3.33	i bet151	5269		pc5269
LJP008_A375_24H-IOX2-10	iox2			iox2
LJP008_A375_24H-IOX2-3.33	iox2			iox2
LJP008_A375_24H-KU-55933-10	ku 55933	54792409		pc54792409
LJP008_A375_24H-KU-60019-10	ku 60019	66062		pc66062
LJP008_A375_24H-LY2603618-10	ly2603618	444732		pc444732
LJP008_A375_24H-LY2603618-3.33	ly2603618	444732		pc444732
LJP008_A375_24H-MK-1775-0.04	mk 1775			mk1775
LJP008_A375_24H-MK-1775-1.11	mk 1775			mk1775
LJP008_A375_24H-MK-1775-10	mk 1775			mk1775
LJP008_A375_24H-MK-1775-3.33	mk 1775			mk1775
LJP008_A375_24H-NPK76-II-72-1-1.11	npk76 ii 72 1	5311		pc5311
LJP008_A375_24H-NPK76-II-72-1-10	npk76 ii 72 1	5311		pc5311
LJP008_A375_24H-PD-0325901-0.04	pd 0325901	9826528		pc9826528
LJP008_A375_24H-PD-0325901-0.12	pd 0325901	9826528		pc9826528
LJP008_A375_24H-PD-0325901-0.37	pd 0325901	9826528		pc9826528
LJP008_A375_24H-PD-0325901-1.11	pd 0325901	9826528		pc9826528
LJP008_A375_24H-PD-0325901-10	pd 0325901	9826528		pc9826528
LJP008_A375_24H-PD-0325901-3.33	pd 0325901	9826528		pc9826528
LJP008_A375_24H-PFI-1-1.11	pfi 1	312145		pc312145
LJP008_A375_24H-PFI-1-10	pfi 1	312145		pc312145
LJP008_A375_24H-PFI-1-3.33	pfi 1	312145		pc312145
LJP008_A375_24H-UNC0638-10	unc0638			unc0638
LJP008_A375_24H-VE821-10	ve821	10766		pc10766
LJP008_A375_24H-VE821-3.33	ve821	10766		pc10766
LJP008_A375_24H-azacitidine-0.12	azacitidine	9444		pc9444
LJP008_A375_24H-azacitidine-1.11	azacitidine	9444		pc9444
LJP008_A375_24H-azacitidine-10	azacitidine	9444		pc9444
LJP008_A375_24H-azacitidine-3.33	azacitidine	9444		pc9444
LJP008_A375_24H-belinostat-0.04	belinostat	6918638		pc6918638
LJP008_A375_24H-belinostat-0.12	belinostat	6918638		pc6918638
LJP008_A375_24H-belinostat-0.37	belinostat	6918638		pc6918638
LJP008_A375_24H-belinostat-1.11	belinostat	6918638		pc6918638
LJP008_A375_24H-belinostat-10	belinostat	6918638		pc6918638
LJP008_A375_24H-belinostat-3.33	belinostat	6918638		pc6918638
LJP008_A375_24H-dasatinib-0.04	dasatinib	3062316		pc3062316
LJP008_A375_24H-dasatinib-0.12	dasatinib	3062316		pc3062316
LJP008_A375_24H-dasatinib-0.37	dasatinib	3062316		pc3062316
LJP008_A375_24H-dasatinib-1.11	dasatinib	3062316		pc3062316
LJP008_A375_24H-dasatinib-10	dasatinib	3062316		pc3062316
LJP008_A375_24H-dasatinib-3.33	dasatinib	3062316		pc3062316
LJP008_A375_24H-decitabine-0.12	decitabine	451668		pc451668
LJP008_A375_24H-decitabine-0.37	decitabine	451668		pc451668
LJP008_A375_24H-decitabine-1.11	decitabine	451668		pc451668
LJP008_A375_24H-decitabine-3.33	decitabine	451668		pc451668
LJP008_A375_24H-entinostat-0.04	entinostat	4261		pc4261
LJP008_A375_24H-entinostat-0.12	entinostat	4261		pc4261
LJP008_A375_24H-entinostat-0.37	entinostat	4261		pc4261
LJP008_A375_24H-entinostat-1.11	entinostat	4261		pc4261
LJP008_A375_24H-entinostat-10	entinostat	4261		pc4261
LJP008_A375_24H-entinostat-3.33	entinostat	4261		pc4261
LJP008_A375_24H-garcinol-10	garcinol	5288783		pc5288783
LJP008_A375_24H-methylstat-10	methylstat	5311365		pc5311365
LJP008_A375_24H-mitoxantrone-10	mitoxantrone	4212		pc4212
LJP008_A375_24H-mocetinostat-0.12	mocetinostat	9865515		pc9865515
LJP008_A375_24H-mocetinostat-0.37	mocetinostat	9865515		pc9865515
LJP008_A375_24H-mocetinostat-1.11	mocetinostat	9865515		pc9865515
LJP008_A375_24H-mocetinostat-10	mocetinostat	9865515		pc9865515
LJP008_A375_24H-mocetinostat-3.33	mocetinostat	9865515		pc9865515
LJP008_A375_24H-olaparib-10	olaparib	23725625		pc23725625
LJP008_A375_24H-olaparib-3.33	olaparib	23725625		pc23725625
LJP008_A375_24H-pracinostat-0.04	pracinostat	197810		pc197810
LJP008_A375_24H-pracinostat-0.12	pracinostat	197810		pc197810
LJP008_A375_24H-pracinostat-0.37	pracinostat	197810		pc197810
LJP008_A375_24H-pracinostat-1.11	pracinostat	197810		pc197810
LJP008_A375_24H-pracinostat-10	pracinostat	197810		pc197810
LJP008_A375_24H-pracinostat-3.33	pracinostat	197810		pc197810
LJP008_A375_24H-resveratrol-10	resveratrol	445154		pc445154
LJP008_A375_24H-rocilinostat-1.11	rocilinostat	2755		pc2755
LJP008_A375_24H-rocilinostat-10	rocilinostat	2755		pc2755
LJP008_A375_24H-rocilinostat-3.33	rocilinostat	2755		pc2755
LJP008_A375_24H-sirolimus-10	sirolimus	5284616		pc5284616
LJP008_A375_24H-tanespimycin-10	tanespimycin	6505803		pc6505803
LJP008_A375_24H-vorinostat-10	vorinostat	5311		pc5311
LJP008_A375_24H-vorinostat-3.33	vorinostat	5311		pc5311
LJP008_A549_24H-(+)-JQ1-0.04	(+) jq1	6438330		pc6438330
LJP008_A549_24H-(+)-JQ1-0.12	(+) jq1	6438330		pc6438330
LJP008_A549_24H-(+)-JQ1-0.37	(+) jq1	6438330		pc6438330
LJP008_A549_24H-(+)-JQ1-1.11	(+) jq1	6438330		pc6438330
LJP008_A549_24H-(+)-JQ1-10	(+) jq1	6438330		pc6438330
LJP008_A549_24H-(+)-JQ1-3.33	(+) jq1	6438330		pc6438330
LJP008_A549_24H-(-)-JQ1-0.12	( ) jq1	6610310		pc6610310
LJP008_A549_24H-(-)-JQ1-10	( ) jq1	6610310		pc6610310
LJP008_A549_24H-ABT-737-10	abt 737	51082		pc51082
LJP008_A549_24H-AGK-2-0.37	agk 2	107992		pc107992
LJP008_A549_24H-AGK-2-3.33	agk 2	107992		pc107992
LJP008_A549_24H-AZ20-1.11	az20			az20
LJP008_A549_24H-AZ20-10	az20			az20
LJP008_A549_24H-AZ20-3.33	az20			az20
LJP008_A549_24H-BIX-01294-1.11	bix 01294	16759159		pc16759159
LJP008_A549_24H-BIX-01294-10	bix 01294	16759159		pc16759159
LJP008_A549_24H-C646-10	c646	6753378		pc6753378
LJP008_A549_24H-CGK-733-10	cgk 733	444732		pc444732
LJP008_A549_24H-CGP-60474-0.04	cgp 60474	11371328		pc11371328
LJP008_A549_24H-CGP-60474-0.12	cgp 60474	11371328		pc11371328
LJP008_A549_24H-CGP-60474-0.37	cgp 60474	11371328		pc11371328
LJP008_A549_24H-CGP-60474-1.11	cgp 60474	11371328		pc11371328
LJP008_A549_24H-CGP-60474-10	cgp 60474	11371328		pc11371328
LJP008_A549_24H-CGP-60474-3.33	cgp 60474	11371328		pc11371328
LJP008_A549_24H-CTB-10	ctb	1268111		pc1268111
LJP008_A549_24H-CX-5461-0.04	cx 5461	12305974		pc12305974
LJP008_A549_24H-CX-5461-0.12	cx 5461	12305974		pc12305974
LJP008_A549_24H-CX-5461-0.37	cx 5461	12305974		pc12305974
LJP008_A549_24H-CX-5461-1.11	cx 5461	12305974		pc12305974
LJP008_A549_24H-CX-5461-10	cx 5461	12305974		pc12305974
LJP008_A549_24H-CX-5461-3.33	cx 5461	12305974		pc12305974
LJP008_A549_24H-EX-527-0.37	ex 527	6420010		pc6420010
LJP008_A549_24H-GSK-1059615-1.11	gsk 1059615	23582824		pc23582824
LJP008_A549_24H-GSK-1059615-10	gsk 1059615	23582824		pc23582824
LJP008_A549_24H-GSK-1059615-3.33	gsk 1059615	23582824		pc23582824
LJP008_A549_24H-GSK-1070916-0.04	gsk 1070916	46885626		pc46885626
LJP008_A549_24H-GSK-1070916-0.12	gsk 1070916	46885626		pc46885626
LJP008_A549_24H-GSK-1070916-0.37	gsk 1070916	46885626		pc46885626
LJP008_A549_24H-GSK-1070916-1.11	gsk 1070916	46885626		pc46885626
LJP008_A549_24H-GSK-1070916-10	gsk 1070916	46885626		pc46885626
LJP008_A549_24H-GSK-1070916-3.33	gsk 1070916	46885626		pc46885626
LJP008_A549_24H-GSK-461364-0.04	gsk 461364	456214		pc456214
LJP008_A549_24H-GSK-461364-0.12	gsk 461364	456214		pc456214
LJP008_A549_24H-GSK-461364-0.37	gsk 461364	456214		pc456214
LJP008_A549_24H-GSK-461364-1.11	gsk 461364	456214		pc456214
LJP008_A549_24H-GSK-461364-10	gsk 461364	456214		pc456214
LJP008_A549_24H-GSK-461364-3.33	gsk 461364	456214		pc456214
LJP008_A549_24H-GSK-J1-0.04	gsk j1	222786		pc222786
LJP008_A549_24H-GSK-J2-0.04	gsk j2	2725002		pc2725002
LJP008_A549_24H-GSK-J2-1.11	gsk j2	2725002		pc2725002
LJP008_A549_24H-GSK-J2-3.33	gsk j2	2725002		pc2725002
LJP008_A549_24H-GSK-J4-10	gsk j4	5770		pc5770
LJP008_A549_24H-I-BET-0.12	i bet	3270699		pc3270699
LJP008_A549_24H-I-BET-0.37	i bet	3270699		pc3270699
LJP008_A549_24H-I-BET-1.11	i bet	3270699		pc3270699
LJP008_A549_24H-I-BET-10	i bet	3270699		pc3270699
LJP008_A549_24H-I-BET-3.33	i bet	3270699		pc3270699
LJP008_A549_24H-I-BET151-0.04	i bet151	5269		pc5269
LJP008_A549_24H-I-BET151-0.12	i bet151	5269		pc5269
LJP008_A549_24H-I-BET151-0.37	i bet151	5269		pc5269
LJP008_A549_24H-I-BET151-1.11	i bet151	5269		pc5269
LJP008_A549_24H-I-BET151-10	i bet151	5269		pc5269
LJP008_A549_24H-I-BET151-3.33	i bet151	5269		pc5269
LJP008_A549_24H-JW55-1.11	jw55	6917803		pc6917803
LJP008_A549_24H-JW55-10	jw55	6917803		pc6917803
LJP008_A549_24H-KU-60019-0.04	ku 60019	66062		pc66062
LJP008_A549_24H-KU-60019-10	ku 60019	66062		pc66062
LJP008_A549_24H-LY2603618-1.11	ly2603618	444732		pc444732
LJP008_A549_24H-LY2603618-10	ly2603618	444732		pc444732
LJP008_A549_24H-LY2603618-3.33	ly2603618	444732		pc444732
LJP008_A549_24H-MK-1775-0.04	mk 1775			mk1775
LJP008_A549_24H-MK-1775-1.11	mk 1775			mk1775
LJP008_A549_24H-MK-1775-10	mk 1775			mk1775
LJP008_A549_24H-MK-1775-3.33	mk 1775			mk1775
LJP008_A549_24H-NPK76-II-72-1-10	npk76 ii 72 1	5311		pc5311
LJP008_A549_24H-NU-7026-10	nu 7026			nu7026
LJP008_A549_24H-PD-0325901-0.04	pd 0325901	9826528		pc9826528
LJP008_A549_24H-PD-0325901-0.12	pd 0325901	9826528		pc9826528
LJP008_A549_24H-PD-0325901-0.37	pd 0325901	9826528		pc9826528
LJP008_A549_24H-PD-0325901-1.11	pd 0325901	9826528		pc9826528
LJP008_A549_24H-PD-0325901-10	pd 0325901	9826528		pc9826528
LJP008_A549_24H-PD-0325901-3.33	pd 0325901	9826528		pc9826528
LJP008_A549_24H-PFI-1-0.37	pfi 1	312145		pc312145
LJP008_A549_24H-PFI-1-1.11	pfi 1	312145		pc312145
LJP008_A549_24H-PFI-1-10	pfi 1	312145		pc312145
LJP008_A549_24H-PFI-1-3.33	pfi 1	312145		pc312145
LJP008_A549_24H-RG-108-3.33	rg 108	6166		pc6166
LJP008_A549_24H-UNC0638-10	unc0638			unc0638
LJP008_A549_24H-VE821-10	ve821	10766		pc10766
LJP008_A549_24H-VE821-3.33	ve821	10766		pc10766
LJP008_A549_24H-Y-27632-10	y 27632	448042		pc448042
LJP008_A549_24H-azacitidine-0.12	azacitidine	9444		pc9444
LJP008_A549_24H-azacitidine-0.37	azacitidine	9444		pc9444
LJP008_A549_24H-azacitidine-1.11	azacitidine	9444		pc9444
LJP008_A549_24H-azacitidine-10	azacitidine	9444		pc9444
LJP008_A549_24H-azacitidine-3.33	azacitidine	9444		pc9444
LJP008_A549_24H-belinostat-0.04	belinostat	6918638		pc6918638
LJP008_A549_24H-belinostat-0.12	belinostat	6918638		pc6918638
LJP008_A549_24H-belinostat-0.37	belinostat	6918638		pc6918638
LJP008_A549_24H-belinostat-1.11	belinostat	6918638		pc6918638
LJP008_A549_24H-belinostat-10	belinostat	6918638		pc6918638
LJP008_A549_24H-belinostat-3.33	belinostat	6918638		pc6918638
LJP008_A549_24H-dasatinib-0.04	dasatinib	3062316		pc3062316
LJP008_A549_24H-dasatinib-0.12	dasatinib	3062316		pc3062316
LJP008_A549_24H-dasatinib-0.37	dasatinib	3062316		pc3062316
LJP008_A549_24H-dasatinib-1.11	dasatinib	3062316		pc3062316
LJP008_A549_24H-dasatinib-10	dasatinib	3062316		pc3062316
LJP008_A549_24H-dasatinib-3.33	dasatinib	3062316		pc3062316
LJP008_A549_24H-decitabine-0.37	decitabine	451668		pc451668
LJP008_A549_24H-decitabine-1.11	decitabine	451668		pc451668
LJP008_A549_24H-decitabine-10	decitabine	451668		pc451668
LJP008_A549_24H-decitabine-3.33	decitabine	451668		pc451668
LJP008_A549_24H-entinostat-0.12	entinostat	4261		pc4261
LJP008_A549_24H-entinostat-0.37	entinostat	4261		pc4261
LJP008_A549_24H-entinostat-1.11	entinostat	4261		pc4261
LJP008_A549_24H-entinostat-10	entinostat	4261		pc4261
LJP008_A549_24H-entinostat-3.33	entinostat	4261		pc4261
LJP008_A549_24H-epigallocatechin-1.11	epigallocatechin			epigallocatechin
LJP008_A549_24H-garcinol-1.11	garcinol	5288783		pc5288783
LJP008_A549_24H-garcinol-10	garcinol	5288783		pc5288783
LJP008_A549_24H-methylstat-10	methylstat	5311365		pc5311365
LJP008_A549_24H-mitoxantrone-10	mitoxantrone	4212		pc4212
LJP008_A549_24H-mocetinostat-0.04	mocetinostat	9865515		pc9865515
LJP008_A549_24H-mocetinostat-0.12	mocetinostat	9865515		pc9865515
LJP008_A549_24H-mocetinostat-0.37	mocetinostat	9865515		pc9865515
LJP008_A549_24H-mocetinostat-1.11	mocetinostat	9865515		pc9865515
LJP008_A549_24H-mocetinostat-10	mocetinostat	9865515		pc9865515
LJP008_A549_24H-mocetinostat-3.33	mocetinostat	9865515		pc9865515
LJP008_A549_24H-olaparib-0.37	olaparib	23725625		pc23725625
LJP008_A549_24H-olaparib-10	olaparib	23725625		pc23725625
LJP008_A549_24H-pracinostat-0.04	pracinostat	197810		pc197810
LJP008_A549_24H-pracinostat-0.12	pracinostat	197810		pc197810
LJP008_A549_24H-pracinostat-0.37	pracinostat	197810		pc197810
LJP008_A549_24H-pracinostat-1.11	pracinostat	197810		pc197810
LJP008_A549_24H-pracinostat-10	pracinostat	197810		pc197810
LJP008_A549_24H-pracinostat-3.33	pracinostat	197810		pc197810
LJP008_A549_24H-resveratrol-10	resveratrol	445154		pc445154
LJP008_A549_24H-rocilinostat-10	rocilinostat	2755		pc2755
LJP008_A549_24H-sirolimus-10	sirolimus	5284616		pc5284616
LJP008_A549_24H-tanespimycin-10	tanespimycin	6505803		pc6505803
LJP008_A549_24H-veliparib-0.37	veliparib	11842604		pc11842604
LJP008_A549_24H-vorinostat-10	vorinostat	5311		pc5311
LJP008_A549_24H-vorinostat-3.33	vorinostat	5311		pc5311
LJP008_HA1E_24H-(+)-JQ1-0.04	(+) jq1	6438330		pc6438330
LJP008_HA1E_24H-(+)-JQ1-0.12	(+) jq1	6438330		pc6438330
LJP008_HA1E_24H-(+)-JQ1-0.37	(+) jq1	6438330		pc6438330
LJP008_HA1E_24H-(+)-JQ1-1.11	(+) jq1	6438330		pc6438330
LJP008_HA1E_24H-(+)-JQ1-10	(+) jq1	6438330		pc6438330
LJP008_HA1E_24H-(+)-JQ1-3.33	(+) jq1	6438330		pc6438330
LJP008_HA1E_24H-(-)-JQ1-10	( ) jq1	6610310		pc6610310
LJP008_HA1E_24H-ABT-737-1.11	abt 737	51082		pc51082
LJP008_HA1E_24H-AGK-2-0.12	agk 2	107992		pc107992
LJP008_HA1E_24H-AGK-2-3.33	agk 2	107992		pc107992
LJP008_HA1E_24H-AZ20-1.11	az20			az20
LJP008_HA1E_24H-AZ20-10	az20			az20
LJP008_HA1E_24H-AZ20-3.33	az20			az20
LJP008_HA1E_24H-BIX-01294-1.11	bix 01294	16759159		pc16759159
LJP008_HA1E_24H-BIX-01294-10	bix 01294	16759159		pc16759159
LJP008_HA1E_24H-C646-10	c646	6753378		pc6753378
LJP008_HA1E_24H-CGK-733-10	cgk 733	444732		pc444732
LJP008_HA1E_24H-CGP-60474-0.37	cgp 60474	11371328		pc11371328
LJP008_HA1E_24H-CGP-60474-1.11	cgp 60474	11371328		pc11371328
LJP008_HA1E_24H-CGP-60474-3.33	cgp 60474	11371328		pc11371328
LJP008_HA1E_24H-CX-5461-0.37	cx 5461	12305974		pc12305974
LJP008_HA1E_24H-CX-5461-10	cx 5461	12305974		pc12305974
LJP008_HA1E_24H-EX-527-0.04	ex 527	6420010		pc6420010
LJP008_HA1E_24H-GSK-1059615-0.04	gsk 1059615	23582824		pc23582824
LJP008_HA1E_24H-GSK-1059615-0.12	gsk 1059615	23582824		pc23582824
LJP008_HA1E_24H-GSK-1059615-0.37	gsk 1059615	23582824		pc23582824
LJP008_HA1E_24H-GSK-1059615-1.11	gsk 1059615	23582824		pc23582824
