DrugName	DrugID_ChEMBL	DrugID_DrugBank	DrugID_SMILES	DrugID_PC
beclomethasone dipropionate	chembl1200500	db00394	ccc(=o)occ(=o)[c@]1([c@h](c[c@@h]2[c@@]1(c[c@@h]([c@]3([c@h]2ccc4=cc(=o)c=c[c@@]43c)cl)o)c)c)oc(=o)cc	21700
begacestat	chembl463981	db12263	c1=c(sc(=c1)cl)s(=o)(=o)n[c@h](co)c(c(f)(f)f)c(f)(f)f	11269353
belaperidone	chembl2105926	NA	c1[c@@h]2cn(c[c@@h]2[c@h]1c3=cc=c(c=c3)f)ccn4c(=o)c5=cc=cc=c5nc4=o	184841
benoxinate hydrochloride	chembl1200654	db00892	ccccoc1=c(c=cc(=c1)c(=o)occn(cc)cc)n.cl	6420040
benzonatate	chembl1374379	db00868	ccccnc1=cc=c(c=c1)c(=o)occoccoccoccoccoccoccoccoccoc	7699
benztropine mesylate	chembl1200383	db00245	cn1[c@@h]2cc[c@h]1cc(c2)oc(c3=cc=cc=c3)c4=cc=cc=c4.cs(=o)(=o)o	3246155
bepridil hydrochloride	chembl1200382	db01244	cc(c)cocc(cn(cc1=cc=cc=c1)c2=cc=cc=c2)n3cccc3.o.cl	91725
betamethasone	chembl632	db00443	c[c@h]1c[c@h]2[c@@h]3ccc4=cc(=o)c=c[c@@]4([c@]3([c@h](c[c@@]2([c@]1(c(=o)co)o)c)o)f)c	9782
betaxolol	chembl423	db00195	cc(c)ncc(coc1=cc=c(c=c1)ccocc2cc2)o	2369
bexarotene	chembl1023	db00307	cc1=cc2=c(c=c1c(=c)c3=cc=c(c=c3)c(=o)o)c(ccc2(c)c)(c)c	82146
bgb-283	chembl3545246	NA	NA	89670174
bgt-226	chembl3545096	NA	cn1c2=cn=c3c=cc(=cc3=c2n(c1=o)c4=cc(=c(c=c4)n5ccncc5)c(f)(f)f)c6=cn=c(c=c6)oc.c(=c\c(=o)o)\c(=o)o	57336745
bi-2536	chembl513909	NA	cc[c@@h]1c(=o)n(c2=cn=c(n=c2n1c3cccc3)nc4=c(c=c(c=c4)c(=o)nc5ccn(cc5)c)oc)c	11364421
bicalutamide	chembl409	db01128	cc(cs(=o)(=o)c1=cc=c(c=c1)f)(c(=o)nc2=cc(=c(c=c2)c#n)c(f)(f)f)o	2375
bicarbonate	chembl1161632	NA	c(=o)(o)o	767
bicuculline	chembl417990	db11562	cn1ccc2=cc3=c(c=c2[c@h]1[c@h]4c5=c(c6=c(c=c5)oco6)c(=o)o4)oco3	10237
bifeprunox	chembl218166	db04888	c1cn(ccn1cc2=cc=cc(=c2)c3=cc=cc=c3)c4=cc=cc5=c4oc(=o)n5	208951
binimetinib	chembl3187723	db11967	cn1c=nc2=c1c=c(c(=c2f)nc3=c(c=c(c=c3)br)f)c(=o)nocco	10288191
biochanin	chembl131921	NA	coc1=cc=c(c=c1)c2=coc3=cc(=cc(=c3c2=o)o)o	5280373
biperiden (chembl1101)	chembl1101	db00810	c1ccn(cc1)ccc(c2cc3cc2c=c3)(c4=cc=cc=c4)o	2381
bleomycin	chembl403664	db00290	cc1=c(n=c(n=c1n)[c@h](cc(=o)n)nc[c@@h](c(=o)n)n)c(=o)n[c@@h]([c@h](c2=cn=cn2)o[c@h]3[c@h]([c@h]([c@@h]([c@@h](o3)co)o)o)o[c@@h]4[c@h]([c@h]([c@@h]([c@h](o4)co)o)oc(=o)n)o)c(=o)n[c@h](c)[c@h]([c@h](c)c(=o)n[c@@h]([c@@h](c)o)c(=o)nccc5=nc(=cs5)c6=nc=c(s6)c(=o)nccc[s+](c)c)o	5460769
blinatumomab	chembl1742992	db09052	NA	NA
bms-690514	chembl3545396	db11665	coc1=cc=cc(=c1)nc2=nc=nn3c2=c(c=c3)cn4cc[c@h]([c@@h](c4)o)n	11349170
bms-754807	chembl575448	NA	c[c@]1(cccn1c2=nn3c=cc=c3c(=n2)nc4=nnc(=c4)c5cc5)c(=o)nc6=cn=c(c=c6)f	24785538
bms-777607	chembl460702	db12064	ccoc1=c(c(=o)n(c=c1)c2=cc=c(c=c2)f)c(=o)nc3=cc(=c(c=c3)oc4=c(c(=nc=c4)n)cl)f	24794418
bretazenil	chembl366947	NA	cc(c)(c)oc(=o)c1=c2[c@@h]3cccn3c(=o)c4=c(n2c=n1)c=cc=c4br	107926
brigatinib	chembl3545311	db12267	cn1ccn(cc1)c2ccn(cc2)c3=cc(=c(c=c3)nc4=nc=c(c(=n4)nc5=cc=cc=c5p(=o)(c)c)cl)oc	68165256
brinzolamide	chembl220491	db01194	ccn[c@h]1cn(s(=o)(=o)c2=c1c=c(s2)s(=o)(=o)n)cccoc	68844
brivanib	chembl377300	db11958	cc1=cc2=c(n1)c=cc(=c2f)oc3=nc=nn4c3=c(c(=c4)oc[c@@h](c)o)c	11234052
brivanib alaninate	chembl270995	db11865	cc1=cc2=c(n1)c=cc(=c2f)oc3=nc=nn4c3=c(c(=c4)oc[c@@h](c)oc(=o)[c@h](c)n)c	11154925
brl-15-572	chembl534232	NA	c1cn(ccn1cc(c(c2=cc=cc=c2)c3=cc=cc=c3)o)c4=cc(=cc=c4)cl	3654103
bromoacetic acid	chembl60851	db02198	c(c(=o)o)br	6227
brucine	chembl501756	NA	coc1=c(c=c2c(=c1)[c@]34ccn5[c@h]3c[c@@h]6[c@@h]7[c@@h]4n2c(=o)c[c@@h]7occ=c6c5)oc	442021
bryostatin	chembl449158	db11752	ccc/c=c/c=c/c(=o)o[c@h]1/c(=c/c(=o)oc)/c[c@h]2c[c@@h](oc(=o)c[c@@h](c[c@@h]3c[c@@h](c([c@@](o3)(c[c@@h]4c/c(=c/c(=o)oc)/c[c@@h](o4)/c=c/c([c@@]1(o2)o)(c)c)o)(c)c)oc(=o)c)o)[c@@h](c)o	5280757
buparlisib	chembl2017974	db11666	c1coccn1c2=nc(=nc(=c2)c3=cn=c(c=c3c(f)(f)f)n)n4ccocc4	16654980
buparlisib hydrochloride	chembl2364604	db11666	c1coccn1c2=nc(=nc(=c2)c3=cn=c(c=c3c(f)(f)f)n)n4ccocc4.cl	66577015
bupivacaine	chembl1098	db00297	ccccn1ccccc1c(=o)nc2=c(c=cc=c2c)c	2474
busulfan	chembl820	db01008	cs(=o)(=o)occccos(=o)(=o)c	2478
butabarbital sodium	chembl1200982	db00237	ccc(c)c1(c(=o)nc(=o)[n-]c1=o)cc.[na+]	23695352
butanoic acid	chembl14227	db03568	cccc(=o)o	264
buthionine sulfoximine	chembl1609891	db12870	ccccs(=n)(=o)cc[c@@h](c(=o)o)n	21157
bx-795	chembl577784	NA	c1ccn(c1)c(=o)nc2=cc=cc(=c2)nc3=nc=c(c(=n3)ncccnc(=o)c4=cc=cs4)i	10077147
ca2	chembl2109588	NA	NA	6102758
caffeine- citrated	chembl1200569	db00201	cn1c=nc2=c1c(=o)n(c(=o)n2c)c.c(c(=o)o)c(cc(=o)o)(c(=o)o)o	6241
calcitonin	chembl359713	db06773	cc1c(c(=o)cc(c(=o)c(c(c(=c)cc(cccnc(=o)cc(c1=c)c(c)c(=o)c(cc2=cc=cc=c2)nc)c(=o)c)cc3=cn=cn3)c)cc4=cc=cc=c4)ccccn	44388547
calcitriol	chembl846	db00136	c[c@h](cccc(c)(c)o)[c@h]1cc[c@@h]\2[c@@]1(ccc/c2=c\c=c/3\c[c@h](c[c@@h](c3=c)o)o)c	5280453
camptothecin	chembl65	db04690	cc[c@@]1(c2=c(coc1=o)c(=o)n3cc4=cc5=cc=cc=c5n=c4c3=c2)o	24360
candicidin	chembl1200647	db01152	c[c@@h]1[c@h]([c@@h]([c@@h](c(o1)oc\2cc(c(c(cc(=o)cc(cc(cc(cc(=o)cccc(=o)cc(=o)oc(c(/c=c/c=c/c=c/c=c/c=c/c=c/c=c2)c)c(c)cc(c)c(cc(=o)c3=cc=c(c=c3)n)o)o)o)o)o)c(=o)o)o)o)n)o	10079874
cannabidiol	chembl190461	db09061	cccccc1=cc(=c(c(=c1)o)[c@@h]2c=c(cc[c@h]2c(=c)c)c)o	644019
capecitabine	chembl1773	db01101	cccccoc(=o)nc1=nc(=o)n(c=c1f)[c@h]2[c@@h]([c@@h]([c@h](o2)c)o)o	60953
capeserod	chembl2027925	NA	c1cn(ccc1n2c(=o)oc(=n2)c3=cc(=c(c4=c3occo4)n)cl)ccc5=cc=cc=c5	9805719
capsaicin	chembl294199	db06774	cc(c)/c=c/ccccc(=o)ncc1=cc(=c(c=c1)o)oc	1548943
captopril	chembl1560	db01197	c[c@h](cs)c(=o)n1ccc[c@h]1c(=o)o	44093
carbacyclin	chembl148319	NA	ccccc[c@@h](/c=c/[c@h]1[c@@h](c[c@h]2[c@@h]1c/c(=c\cccc(=o)o)/c2)o)o	5311242
carbamazepine	chembl108	db00564	c1=cc=c2c(=c1)c=cc3=cc=cc=c3n2c(=o)n	2554
carbenoxolone	chembl499915	db02329	c[c@]12cc[c@](c[c@h]1c3=cc(=o)[c@@h]4[c@]5(cc[c@@h](c([c@@h]5cc[c@]4([c@@]3(cc2)c)c)(c)c)oc(=o)ccc(=o)o)c)(c)c(=o)o	636403
carboplatin	chembl1351	db00958	NA	38904
carteolol	chembl839	db00521	cc(c)(c)ncc(coc1=cc=cc2=c1ccc(=o)n2)o	2583
carvedilol phosphate	chembl1201167	db01136	coc1=cc=cc=c1occncc(coc2=cc=cc3=c2c4=cc=cc=c4n3)o.op(=o)(o)o	9827459
cc-223	chembl3545151	NA	NA	58298316
cediranib	chembl491473	db04849	cc1=cc2=c(n1)c=cc(=c2f)oc3=nc=nc4=cc(=c(c=c43)oc)occcn5cccc5	9933475
celecoxib	chembl118	db00482	cc1=cc=c(c=c1)c2=cc(=nn2c3=cc=c(c=c3)s(=o)(=o)n)c(f)(f)f	2662
cep-11981	chembl2010872	NA	cc(c)cn1c2=c(c=c(c=c2)nc3=nc=cc=n3)c4=c5cnc(=o)c5=c6c(=c41)ccc7=nn(c=c76)c	11751922
cep-1347	chembl290352	db05403	ccscc1=cc2=c(c=c1)n3[c@h]4c[c@@]([c@](o4)(n5c6=c(c=c(c=c6)cscc)c7=c8cnc(=o)c8=c2c3=c75)c)(c(=o)oc)o	9917013
cep-2563	chembl3545332	NA	NA	9831755
cerdulatinib	chembl3545284	NA	NA	44595079
ceritinib	chembl2403108	db09063	cc1=cc(=c(c=c1c2ccncc2)oc(c)c)nc3=nc=c(c(=n3)nc4=cc=cc=c4s(=o)(=o)c(c)c)cl	57379345
cgs-27023a	chembl514138	NA	cc(c)[c@h](c(=o)no)n(cc1=cn=cc=c1)s(=o)(=o)c2=cc=c(c=c2)oc.cl	9888897
cgs-8216	chembl19732	NA	c1=cc=c(c=c1)n2c(=o)c3c=nc4=cc=cc=c4c3=n2	104916
chembl100014	chembl100014	db05103	cccc(=o)ococ(=o)c(c)(c)c	60748
chembl1081312	chembl1081312	db08052	c1ccc(c1)n2c3=c(c(=n2)c4=cn=c5c(=c4)c=cn5)c(=nc=n3)n	24905142
chembl1086377 (ku-0060648)	chembl1086377	NA	ccn1ccn(cc1)cc(=o)nc2=c3c4=cc=cc=c4sc3=c(c=c2)c5=cc=cc6=c5oc(=cc6=o)n7ccocc7	11964036
chembl11348	chembl11348	NA	ccn1c2=c(c(=o)n(c1=o)cc)nc(=n2)c3=cc=cc=c3	1328
chembl116590	chembl116590	NA	cn1c2ccc1cc(c2)oc(c3=cc=cc=c3)c4=cc=cc=c4	2344
chembl1179605 (pregnenolone sulfate sodium)	chembl1179605	NA	cc(=o)[c@h]1cc[c@@h]2[c@@]1(cc[c@h]3[c@h]2cc=c4[c@@]3(cc[c@@h](c4)os(=o)(=o)o)c)c	105074
chembl1188853	chembl1188853	NA	c1cn(ccn1ccccnc(=o)c2=cc=cc=c2n)c3=nsc4=cc=cc=c43	127912
chembl1213492	chembl1213492	db12645	ccn(cc)cc1=cc2=c(c=c1)c=c(c=c2)coc(=o)nc3=cc=c(c=c3)c(=o)no	9804992
chembl1229592	chembl1229592	NA	cn1ccn(cc1)c2=cc(=c(c=c2)nc3=nc=c(c(=n3)oc4=cc=cc(=c4)nc(=o)c=c)cl)oc	44607530
chembl1231206	chembl1231206	db07430	c[c@@h]1cnc2=c(c(=o)n1)sc3=c2c4=c(c=c3)n=c(c=c4)c5=cn=c(c=c5)c	44631903
chembl1233686 (inosine-5'-triphosphate)	chembl1233686	NA	c1=nc(=o)c2=c(n1)n(c=n2)[c@h]3[c@@h]([c@@h]([c@h](o3)cop(=o)(o)op(=o)(o)op(=o)(o)o)o)o	8583
chembl1236539	chembl1236539	db01933	c[c@@]12[c@@h]([c@@h](c[c@@h](o1)n3c4=cc=cc=c4c5=c6c(=c7c8=cc=cc=c8n2c7=c53)[c@h](nc6=o)o)nc)oc	72271
chembl1255588 ((+)-butaclamol)	chembl1255588	NA	cc(c)(c)[c@]1(ccn2c[c@@h]3c4=cc=cc=c4ccc5=c3c(=cc=c5)[c@h]2c1)o	37461
chembl1255648	chembl1255648	NA	c1ccn(cc1)c(=o)c2=cc3=c(c=c2)occo3	2890
chembl1256682 (hexahydro-sila-difenidol hydrochloride)	chembl1256682	NA	c1ccc(cc1)[si](cccn2ccccc2)(c3=cc=c(c=c3)f)o	3603
chembl139677 (n-chloromethyl brucine chloride)	chembl139677	NA	coc1=c(c=c2c(=c1)[c@]34cc[n+]5([c@h]3c[c@@h]6[c@@h]7[c@@h]4n2c(=o)c[c@@h]7occ=c6c5)ccl)oc	44358908
chembl157769 (bay-507952)	chembl157769	NA	coc1=c(c(=c(c(=c1)o)csc[c@@h](c2=nocco2)nc3=nc(=cs3)c4=cc=c(c=c4)[n+](=o)[o-])c(=o)oc)br	9895647
chembl1628262	chembl1628262	NA	cccc1(ccc1)[c@h](c/c=c/[c@h]2[c@@h](cc(=o)[c@@h]2ccccccc(=o)o)o)o	25886893
chembl1628667	chembl1628667	NA	c1cn(ccn1c2=cc=nc=c2)c(=o)ccns(=o)(=o)c3=cc=cc4=nsn=c43	24768606
chembl169233 (2-(diphenylboryloxy)ethanamine)	chembl169233	NA	b(c1=cc=cc=c1)(c2=cc=cc=c2)occn	1598
chembl175543 (mrs-5358)	chembl175543	NA	cnc(=o)[c@@]12c[c@@h]1[c@h]([c@@h]([c@@h]2o)o)n3c=nc4=c3n=c(n=c4ncc5=cc(=cc=c5)cl)cl	11248240
chembl1765740 (gsk-2334470)	chembl1765740	NA	c[c@@h]1cc[c@@h](cn1c2=nc(=nc(=c2)c3=cc4=c(c=c3)c(=nn4)n)nc)c(=o)nc5ccccc5	46215815
chembl1801250 (chr-3996)	chembl1801250	NA	c1[c@@h]2[c@@h](c2ncc3=nc4=c(c=c3)c=c(c=c4)f)cn1c5=nc=c(c=n5)c(=o)no	49857317
chembl1802728	chembl1802728	NA	ccn(cc)c(=o)c1=cc=c(c=c1)nc2=nc3=c(c(=n2)occ4ccccc4)nc=n3	10202471
chembl1851943	chembl1851943	db05223	ccccc1=nc2=c(n1ccn(cc)cc)c=cc(=c2)/c=c/c(=o)no	49855250
chembl191482	chembl191482	db12707	cc(c)[c@@h](c1=cc=cc=c1)c(=o)nc2=cc=c(c=c2)c(=o)no	6918848
chembl197194	chembl197194	NA	coc1=cc=cc(=c1)c2=cc(=c(c=c2)nc(=o)c3=c(ccc3)c(=o)o)f	9820008
chembl20963	chembl20963	NA	cc1=c(c=cc(=c1)c2=noc(=n2)c)c3=cc=c(c=c3)c(=o)nc4=cc(=c(c=c4)oc)occn(c)c	3292447
chembl225155	chembl225155	NA	ccccccccccccc/c=c/[c@h]([c@h](cop(=o)(o)o)n)o	5283560
chembl23094 (2'-3'-dideoxyadenosine)	chembl23094	NA	c1c[c@@h](o[c@@h]1co)n2c=nc3=c2n=cn=c3n	20039
chembl247471 (bms-299897)	chembl247471	NA	c[c@h](c1=c(c=c(c=c1)f)cccc(=o)o)n(c2=c(c=cc(=c2)f)f)s(=o)(=o)c3=cc=c(c=c3)cl	11249248
chembl266591	chembl266591	NA	cc1=c(c2=c(n1)c=cc(=c2)o)ccn	1574
chembl267615	chembl267615	NA	ccc1=c(c2=c(n1)c=cc(=c2)oc)ccn(c)c	6918513
chembl270497 (nsc-299588)	chembl270497	NA	cn1c(=nn=n1)scc2=c(n3c(c(c3=o)nc(=o)c(c4=cc=cc=c4)oc=o)sc2)c(=o)o	2615
chembl274866	chembl274866	NA	c1cn(ccn1)c2=cc=cc(=c2)c(f)(f)f	4296
chembl277120	chembl277120	NA	c1cn(ccn1)c2=cc=cc3=cc=cc=c32	1342
chembl27885	chembl27885	NA	ccn(c/c=c/c#cc(c)(c)c)cc1=cc(=cc=c1)occ2=cc(=cs2)c3=csc=c3	6443223
chembl279453 (af-dx-384)	chembl279453	NA	cccn(ccc)cc1ccccn1ccnc(=o)n2c3=cc=cc=c3c(=o)nc4=c2n=cc=c4	119357
chembl306380	chembl306380	db01809	cc1=cc=c(c=c1)c2=nn(c3=c2c(=nc=n3)n)c(c)(c)c	1400
chembl313417 (skf-86002-a2)	chembl313417	NA	c1csc2=nc(=c(n21)c3=cc=nc=c3)c4=cc=c(c=c4)f	5228
chembl3186179	chembl3186179	NA	cn(c)c1ccc2=c(c1)c3=c(n2)c=cc(=c3)nc(=o)c4=cc=c(c=c4)f	18971832
chembl3186227	chembl3186227	NA	cc(=o)occoc(=o)c	8121
chembl3186849	chembl3186849	db12109	c1=cc=c(c=c1)csccc(ccccc(=o)o)scc2=cc=cc=c2	24770514
chembl334533	chembl334533	db06444	ccccccc(c)(c)c1=cc2=c([c@h]3cc(=cc[c@@h]3c(o2)(c)c)co)c(=c1)o	107778
chembl34155 (piperidine-4-sulfonic acid)	chembl34155	NA	c1cnccc1s(=o)(=o)o	4838
chembl343357 (brucine n-oxide)	chembl343357	NA	coc1=c(c=c2c(=c1)[c@]34cc[n+]5([c@h]3c[c@@h]6[c@@h]7[c@@h]4n2c(=o)c[c@@h]7occ=c6c5)[o-])oc	11122452
chembl343796 (n-benzyl brucine iodide)	chembl343796	NA	coc1=c(c=c2c(=c1)[c@]34cc[n+]5([c@h]3c[c@@h]6[c@@h]7[c@@h]4n2c(=o)c[c@@h]7occ=c6c5)cc8=cc=cc=c8)oc	44358893
chembl34453	chembl34453	NA	c1c[c@](c[c@@h]1c(=o)o)(c(=o)o)n	104766
chembl35482 (pd-98059)	chembl35482	NA	coc1=cc=cc(=c1n)c2=cc(=o)c3=cc=cc=c3o2	4713
chembl357834 (u-46619)	chembl357834	NA	ccccc[c@@h](/c=c/[c@@h]1[c@h](c2cc1oc2)c/c=c\cccc(=o)o)o	16219283
chembl376408 (abt-737)	chembl376408	NA	cn(c)cc[c@h](csc1=cc=cc=c1)nc2=c(c=c(c=c2)s(=o)(=o)nc(=o)c3=cc=c(c=c3)n4ccn(cc4)cc5=cc=cc=c5c6=cc=c(c=c6)cl)[n+](=o)[o-]	11228183
chembl387187	chembl387187	NA	c1cc1c(=o)nc2=cc=cc(=c2)nc3=nc=nc(=c3)nc4=cc=cc(=c4)c(f)(f)f	9549299
chembl395336	chembl395336	db02315	c1[c@@h]2[c@h]([c@h]([c@@h](o2)n3c=nc4=c3nc(=nc4=o)n)o)op(=o)(o1)o	24316
chembl411250 (interleukin-8)	chembl411250	NA	c[c@h]([c@@h](c(=o)ncc(=o)n[c@@h](ccsc)c(=o)n1ccc[c@@h]1c(=o)n2ccc[c@@h]2c(=o)n[c@@h](c)c(=o)n[c@h](cc(=o)o)c(=o)n[c@h](ccc(=o)o)c(=o)n[c@h](cc(=o)o)c(=o)n[c@h](cc3=cc=c(c=c3)o)c(=o)n[c@h](co)c(=o)n4ccc[c@@h]4c(=o)n)nc(=o)[c@h](cc5=cc=cc=c5)nc(=o)[c@h](cc(=o)n)nc(=o)[c@h](cc(c)c)nc(=o)[c@h](cc(=o)o)nc(=o)[c@h](cc(=o)o)nc(=o)[c@h](cc6=cc=cc=c6)nc(=o)[c@h](cc(=o)o)nc(=o)[c@h](cc7=cnc8=cc=cc=c87)nc(=o)[c@h](ccsc)nc(=o)c)o	44357137
chembl432038 (ly-341495)	chembl432038	NA	c1[c@@h]([c@h]1[c@@](cc2c3=cc=cc=c3oc4=cc=cc=c24)(c(=o)o)n)c(=o)o	9819927
chembl435278 (gw-2433)	chembl435278	NA	cc(c)(c(=o)o)oc1=cc=c(c=c1)cccn(ccc2=c(c=cc=c2cl)f)c(=o)nc3=c(c(=cc=c3)cl)cl	1517
chembl442494	chembl442494	NA	c[c@h]([c@@h]1c(=o)n[c@h](c(=o)n[c@@h](c(=o)n[c@h](c(=o)n[c@@h](cssc[c@h](c(=o)n[c@@h](c(=o)n[c@h](c(=o)n[c@@h](c(=o)n[c@h](c(=o)n[c@@h](c(=o)n[c@h](c(=o)n1)ccccn)cc2=cnc3=cc=cc=c32)cc4=cc=cc=c4)cc5=cc=cc=c5)cc(=o)n)ccccn)nc(=o)cnc(=o)[c@h](c)nc(=o)[c@h](ccccn)nc(=o)[c@h](cccn=c(n)n)nc(=o)[c@h](ccc(=o)o)nc(=o)[c@h](cccn=c(n)n)nc(=o)[c@@h]6cccn6c(=o)[c@h](c)nc(=o)[c@h](ccsc)nc(=o)[c@h](c)nc(=o)[c@@h]7cccn7c(=o)[c@h](cc(=o)n)nc(=o)[c@h](co)nc(=o)[c@h](cc(=o)n)nc(=o)[c@h](c)nc(=o)[c@h](co)n)c(=o)o)co)[c@@h](c)o)cc8=cc=cc=c8)o	NA
chembl458997	chembl458997	db07460	cnc(=o)c1=cc=cc=c1nc2=nc(=nc=c2cl)nc3=c(c=c(c=c3)n4ccocc4)oc	9934347
chembl480558	chembl480558	db12819	ccc(cc)[c@@h](co)ns(=o)(=o)c1=cc=c(s1)cl	11358855
chembl50267	chembl50267	db01931	c1=c(c=c2c(=c1cl)c(=o)c=c(n2)c(=o)o)cl	1779
chembl524266	chembl524266	db07149	c1[c@@h](c2=c(c=c(n2)c3=nc(=nc=c3)n)c(=o)n1)ccf	16757525
chembl580785	chembl580785	NA	c1ccc(cc1)[si](cccn2ccccc2)(c3=cc=cc=c3)o.cl	13497285
chembl605003	chembl605003	db08039	cn(c)s(=o)(=o)c1=cc\2=c(c=c1)nc(=o)/c2=c\c3=cc4=c(n3)cccc4	5312137
chembl65280	chembl65280	NA	c1[c@@h]2coc3=c([c@h]2cn1ccccnc(=o)c4=cc=c(c=c4)c5=cc=cc=c5)c=c(c=c3)c#n	9868452
chembl70176	chembl70176	db02071	cc1=cc=cc(=c1n(cc2=cn=cc=c2)s(=o)(=o)c3=cc=c(c=c3)oc)c(=o)no	4368
chembl7318	chembl7318	NA	cn(c)ccc1=c(nc2=c1c=c(c=c2)oc)c3=cc=cc=c3	6918515
chembl99521	chembl99521	NA	c1cn2ccc1c(c2)c3=nsn=c3occ#cc4=cc=cc=c4	10426487
chembl99951	chembl99951	NA	c1=cc2=c(c=c1c(=n)n)nc(=n2)cc3=nc4=c(n3)c=c(c=c4)c(=n)n	2387
chlorambucil	chembl515	db00291	c1=cc(=cc=c1cccc(=o)o)n(cccl)cccl	2708
chlordiazepoxide hydrochloride	chembl1200703	db00475	cn=c1cn(c(=c2c=c(c=cc2=n1)cl)c3=cc=cc=c3)o.cl	9916
chlorophenylpiperazine	chembl478	db12110	c1cn(ccn1)c2=cc(=cc=c2)cl	1355
chloroprocaine hydrochloride	chembl944	db01161	ccn(cc)ccoc(=o)c1=c(c=c(c=c1)n)cl.cl	441348
chlorothiazide	chembl842	db00880	c1=c2c(=cc(=c1cl)s(=o)(=o)n)s(=o)(=o)n=cn2	2720
chlorpromazine hydrochloride	chembl1713	db00477	cn(c)cccn1c2=cc=cc=c2sc3=c1c=c(c=c3)cl.cl	6240
chlorpropamide	chembl498	db00672	cccnc(=o)ns(=o)(=o)c1=cc=c(c=c1)cl	2727
chlorthalidone	chembl1055	db00310	c1=cc=c2c(=c1)c(=o)nc2(c3=cc(=c(c=c3)cl)s(=o)(=o)n)o	2732
chondroitin sulfate	chembl2303614	db09301	cc(=o)n[c@h]1[c@@h](o[c@@h]([c@@h]([c@@h]1coc[c@h]2[c@@h]([c@h]([c@@h]([c@h](o2)c(=o)o)co)o)o)cs(=o)(=o)o)co)co	71720239
ci-1040	chembl105442	db12429	c1cc1conc(=o)c2=c(c(=c(c=c2)f)f)nc3=c(c=c(c=c3)i)cl	6918454
cilengitide	chembl429876	db11890	cc(c)[c@h]1c(=o)n[c@h](c(=o)ncc(=o)n[c@h](c(=o)n[c@@h](c(=o)n1c)cc2=cc=cc=c2)cc(=o)o)cccn=c(n)n	176873
cilmostim	chembl2108239	NA	NA	NA
cilostazol	chembl799	db01166	c1ccc(cc1)n2c(=nn=n2)ccccoc3=cc4=c(c=c3)nc(=o)cc4	2754
cimetidine	chembl30	db00501	cc1=c(n=cn1)csccnc(=nc)nc#n	2756
cisatracurium besylate	chembl1200641	db00565	c[n@@+]1(ccc2=cc(=c(c=c2[c@h]1cc3=cc(=c(c=c3)oc)oc)oc)oc)ccc(=o)occcccoc(=o)cc[n@+]4(ccc5=cc(=c(c=c5[c@h]4cc6=cc(=c(c=c6)oc)oc)oc)oc)c.c1=cc=c(c=c1)s(=o)(=o)[o-].c1=cc=c(c=c1)s(=o)(=o)[o-]	62886
cisplatin	chembl1386	db00515	NA	NA
clarithromycin	chembl1741	db01211	cc[c@@h]1[c@@]([c@@h]([c@h](c(=o)[c@@h](c[c@@]([c@@h]([c@h]([c@@h]([c@h](c(=o)o1)c)o[c@h]2c[c@@]([c@h]([c@@h](o2)c)o)(c)oc)c)o[c@h]3[c@@h]([c@h](c[c@h](o3)c)n(c)c)o)(c)oc)c)c)o)(c)o	84029
clevidipine	chembl1237132	db04920	cccc(=o)ococ(=o)c1=c(nc(=c(c1c2=c(c(=cc=c2)cl)cl)c(=o)oc)c)c	153994
clofarabine	chembl1750	db00631	c1=nc2=c(n1[c@h]3[c@h]([c@@h]([c@h](o3)co)o)f)n=c(n=c2n)cl	119182
clofibrate	chembl565	db00636	ccoc(=o)c(c)(c)oc1=cc=c(c=c1)cl	2796
cloprostenol	chembl2220404	NA	c1c(c(c(c1o)/c=c/c(coc2=cc(=cc=c2)cl)o)c/c=c\cccc(=o)o)o	20838637
clorazepate dipotassium	chembl2096631	db00628	c1=cc=c(c=c1)c2=nc(c(=o)nc3=c2c=c(c=c3)cl)c(=o)[o-].[oh-].[k+].[k+]	23706210
clotrimazole	chembl104	db00257	c1=cc=c(c=c1)c(c2=cc=cc=c2)(c3=cc=cc=c3cl)n4c=cn=c4	2812
cns-5161	chembl41306	db05824	cn(c1=cc(=cc=c1)sc)c(=nc2=c(c=cc(=c2)sc)cl)n	192711
cobimetinib	chembl2146883	db05239	c1ccn[c@@h](c1)c2(cn(c2)c(=o)c3=c(c(=c(c=c3)f)f)nc4=c(c=c(c=c4)i)f)o	16222096
colchicine	chembl87	db08117	cc(=o)n[c@h]1ccc2=cc(=c(c(=c2c3=cc=c(c(=o)c=c13)oc)oc)oc)oc	2833
collagenase clostridium histolyticum	chembl2108709	db00048	NA	NA
copanlisib	chembl3218576	db12483	coc1=c(c=cc2=c1n=c(n3c2=ncc3)nc(=o)c4=cn=c(n=c4)n)occcn5ccocc5	24989044
cordycepin	chembl305686	db12156	c1[c@h](o[c@h]([c@@h]1o)n2c=nc3=c2n=cn=c3n)co	6303
corticotropin	chembl1201609	db01285	NA	16132265
